Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
"Assy Drawing,Other non M/B",Parts,3624,0,"All Parts-Assy Drawing,Other non M/B (Subclass Access)","All Parts-Assy Drawing,Other non M/B (Subclass Access)",,"(Role MOD PARTS P3 CMA'S) Mod P3 Assy Drawing,Other non",Type O Role
,,,,"(Role VIEWER G) GetFile Assy Drawing,Other no","(Role VIEWER G) GetFile Assy Drawing,Other no",,"Checkout-Assy Drawing,Other non M/B","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER H) GetFile Assy Drawing,Other no","(Role VIEWER H) GetFile Assy Drawing,Other no",,"(Role VIEWER D) GetFile Assy Drawing,Other no",Role VIEWER E
,,,,"(Role VIEWER C) GetFile Assy Drawing,Other no","(Role VIEWER C) GetFile Assy Drawing,Other no",,"(Role VIEWER F) GetFile Assy Drawing,Other no",Create All Items (Subclass Level)
,,,,"(Role VIEWER D) GetFile Assy Drawing,Other no","(Role VIEWER D) GetFile Assy Drawing,Other no",,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,Other non M/B",Role DELL LEGAL
,,,,"(Role VIEWER I) GetFile Assy Drawing,Other no","(Role VIEWER I) GetFile Assy Drawing,Other no",,"(Role VIEWER B) GetFile Assy Drawing,Other no",Role VIEWER I
,,,,"For Assy Drawing,Other non M/B Only - Exclude SBOM","For Assy Drawing,Other non M/B Only - Exclude SBOM",,"(Role VIEWER J 3B) GetFile Assy Drawing,Other no",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER B) GetFile Assy Drawing,Other no","(Role VIEWER B) GetFile Assy Drawing,Other no",,"(Role VIEWER H) GetFile Assy Drawing,Other no",Openmanage Viewer
,,,,"(Role VIEWER F) GetFile Assy Drawing,Other no","(Role VIEWER F) GetFile Assy Drawing,Other no",,"(Role READ/DISCOVER P3) Discover P3 Assy Drawing,Other non",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,Other non M/B","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Assy Dwg,Other non M/B",,"Upgrade Supplier Access - Modify Assy Drawing, Other non M_B",Role Check In Check Out
,,,,"(Role VIEWER J 3B) GetFile Assy Drawing,Other no","(Role VIEWER J 3B) GetFile Assy Drawing,Other no",,"Create-Assy Drawing,Other non M/B","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER K 3D1) GetFile Assy Drawing,Other no","(Role VIEWER K 3D1) GetFile Assy Drawing,Other no",,"(Role READ/DISCOVER P3) Read P3 Assy Drawing,Other non",Role VIEWER F
,,,,"(Role VIEWER E) GetFile Assy Drawing,Other no","(Role VIEWER E) GetFile Assy Drawing,Other no",,"(Role VIEWER C) GetFile Assy Drawing,Other no",Role CREATOR
,,,,"For Assy Drawing,Other non M/B Only","For Assy Drawing,Other non M/B Only",,"(Role VIEWER E) GetFile Assy Drawing,Other no",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER G) GetFile Assy Drawing,Other no",Role READ/DISCOVER P3
,,,,,,,"Checkin-Assy Drawing,Other non M/B",Role VIEWER J 3B
,,,,,,,"(Role VIEWER I) GetFile Assy Drawing,Other no",Role VIEWER H
,,,,,,,"(Role VIEWER K 3D1) GetFile Assy Drawing,Other no",Role VIEWER C
,,,,,,,"Modify Attachments-Assy Drawing,Other non M/B",Role PGDS ANALYST
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Role VIEWER G
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
ATO,Automated Transfer Orders,3643608,5,,,,,
Audit,Audits,0,0,,,,,
Badges,Parts,2724,0,(Role VIEWER D) GetFile Badges,(Role VIEWER D) GetFile Badges,,(Role VIEWER H) GetFile Badges,Type O Role
,,,,(Role VIEWER B) GetFile Badges,(Role VIEWER B) GetFile Badges,,Checkout-Badges,Role VIEWER E
,,,,For Badges Only - Exclude SBOM,For Badges Only - Exclude SBOM,,(Role MOD PARTS P3 CMA'S) Mod P3 Badges,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER F) GetFile Badges,(Role VIEWER F) GetFile Badges,,(Role VIEWER B) GetFile Badges,Create All Items (Subclass Level)
,,,,All Parts-Badges (Subclass Access),All Parts-Badges (Subclass Access),,(Role VIEWER C) GetFile Badges,Role DELL LEGAL
,,,,(Role VIEWER J 3B) GetFile Badges,(Role VIEWER J 3B) GetFile Badges,,(Role READ/DISCOVER P3) Discover P3 Badges,Role VIEWER I
,,,,(Role VIEWER H) GetFile Badges,(Role VIEWER H) GetFile Badges,,(Role VIEWER E) GetFile Badges,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER I) GetFile Badges,(Role VIEWER I) GetFile Badges,,(Role VIEWER I) GetFile Badges,Openmanage Viewer
,,,,(Role VIEWER E) GetFile Badges,(Role VIEWER E) GetFile Badges,,(Role VIEWER G) GetFile Badges,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
