Subclass in Use Report,
Name:,Production 05Aug05
GUID:,BC80EC566DB14C97A5AD7537D72EF82B
Schema:,agile
Server:,//aglnlorrdev15.us.dell.com
VersionDB:,9.3.525.24
Create Time:,08/07/2024 05:24:35 AM PDT

Subclass,Class,Total Objects,Deleted Objects,Query,Criteria,Workflow,Privilege,Role
,,,,"(Role MOD PARTS P3 TAA PROJ PLNR) Mod P3 TAA Base,Non-System","(Role MOD PARTS P3 TAA PROJ PLNR) Mod P3 TAA Base,Non-System",,"(Role VIEWER B) GetFile Base,Non-System",Openmanage Viewer
,,,,"For Base,Non-System Only","For Base,Non-System Only",,"(Role READ/DISCOVER P3) Discover P3 Base,Non-System",Role VCE SKU Attribute Manager
,,,,"For Base,Non-System Only - Exclude SBOM","For Base,Non-System Only - Exclude SBOM",,"(Role Modify IATA Attributes) Modify Base,Non-System",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER B) GetFile Base,Non-System","(Role VIEWER B) GetFile Base,Non-System",,"Read VCE Attributes - Base,Non-System",Role Check In Check Out
,,,,"(Role VIEWER K 3D1) GetFile Base,Non-System","(Role VIEWER K 3D1) GetFile Base,Non-System",,"(Role MOD PARTS P3 TAA PROJ PLNR) Mod P3 TAA Base,Non-System","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER E) GetFile Base,Non-System","(Role VIEWER E) GetFile Base,Non-System",,"(Role VIEWER D) GetFile Base,Non-System",Role Modify IATA Attributes
,,,,"(Role VIEWER H) GetFile Base,Non-System","(Role VIEWER H) GetFile Base,Non-System",,"Modify P3 VCE Attributes - Base,Non-System",Role CREATOR
,,,,,,,"(Role VIEWER F) GetFile Base,Non-System",Role VIEWER F
,,,,,,,"(Role VIEWER J 3B) GetFile Base,Non-System",Role READ/DISCOVER P3
,,,,,,,"Checkin-Base,Non-System",Role VIEWER J 3B
,,,,,,,"(Role READ/DISCOVER P3) Read P3 Base,Non-System",Role VIEWER H
,,,,,,,"(Role MOD PARTS P3 TAA IFF PREM) Mod P3 TAA Base,Non-System",Role VIEWER C
,,,,,,,"(Role MOD PARTS P3 PG Regulatory) Mod P3 Base,Non-System",Role PGDS ANALYST
,,,,,,,"(Role VIEWER H) GetFile Base,Non-System",Role MODIFY TAA P3
,,,,,,,"Modify Attachments-Base,Non-System",Role VIEWER G
,,,,,,,"Upgrade Supplier Access - Modify Base,Non-System",Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
"Base,System",Parts,47851,0,"(Role VIEWER C) GetFile Base,System","(Role VIEWER C) GetFile Base,System",,"(Role VIEWER K 3D1) GetFile Base,System",Type O Role
,,,,"(Role VIEWER E) GetFile Base,System","(Role VIEWER E) GetFile Base,System",,"Upgrade Supplier Access - Modify Base,System","Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,"(Role VIEWER B) GetFile Base,System","(Role VIEWER B) GetFile Base,System",,"(Role MOD PARTS P3 CMA'S) Mod P3 Base,System",Role VIEWER E
,,,,"(Role MOD PARTS P3 TAA PROJ PLNR) Mod P3 TAA Base,System","(Role MOD PARTS P3 TAA PROJ PLNR) Mod P3 TAA Base,System",,"(Role VIEWER B) GetFile Base,System",Create All Items (Subclass Level)
,,,,"(Role VIEWER J 3B) GetFile Base,System","(Role VIEWER J 3B) GetFile Base,System",,"Create-Base,System",Role DELL LEGAL
,,,,"For Base,System Only - Exclude SBOM","For Base,System Only - Exclude SBOM",,"(Role MOD PARTS P3 TAA PROJ PLNR) Mod P3 TAA Base,System",Role MOD PARTS P3 PG Regulatory
,,,,"(Role VIEWER D) GetFile Base,System","(Role VIEWER D) GetFile Base,System",,"(Role VIEWER D) GetFile Base,System",Role DOCUMENT SUBMITTER
,,,,"(Role VIEWER G) GetFile Base,System","(Role VIEWER G) GetFile Base,System",,"(Role VIEWER F) GetFile Base,System",Role VIEWER I
,,,,"(Role VIEWER F) GetFile Base,System","(Role VIEWER F) GetFile Base,System",,"(Role READ/DISCOVER P3) Discover P3 Base,System",Openmanage Viewer
,,,,"(Role VIEWER K 3D1) GetFile Base,System","(Role VIEWER K 3D1) GetFile Base,System",,"Checkout-Base,System",Role VCE SKU Attribute Manager
,,,,"For Base,System Only","For Base,System Only",,"(Role Modify IATA Attributes) Modify Base,System",Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,"(Role VIEWER H) GetFile Base,System","(Role VIEWER H) GetFile Base,System",,"(Role VIEWER J 3B) GetFile Base,System","Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,"(Role VIEWER I) GetFile Base,System","(Role VIEWER I) GetFile Base,System",,"(Role VIEWER H) GetFile Base,System",Role Check In Check Out
,,,,"(Role MOD PARTS P3 TAA IFF PREM) Mod P3 TAA Base,System","(Role MOD PARTS P3 TAA IFF PREM) Mod P3 TAA Base,System",,"Checkin-Base,System",Role Modify IATA Attributes
,,,,"All Parts-Base,System (Subclass Access)","All Parts-Base,System (Subclass Access)",,"(Role MOD PARTS P3 TAA IFF PREM) Mod P3 TAA Base,System",Role CREATOR
,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Base,System","(Role MOD PARTS P3 PROJ PLNR) Mod P3 Base,System",,"(Role VIEWER C) GetFile Base,System",Role VIEWER F
,,,,,,,"(Role MOD PARTS P3 PG Regulatory) Mod P3 Base,System",Role READ/DISCOVER P3
,,,,,,,"(Role MOD PARTS P3 PROJ PLNR) Mod P3 Base,System",Role MOD PARTS P3 PROJ PLNR
,,,,,,,"(Role VIEWER E) GetFile Base,System",Role VIEWER J 3B
,,,,,,,"Modify Attachments-Base,System",Role VIEWER H
,,,,,,,"(Role VIEWER G) GetFile Base,System",Role VIEWER C
,,,,,,,"(Role READ/DISCOVER P3) Read P3 Base,System",Role MODIFY TAA P3
,,,,,,,"Modify P3 VCE Attributes - Base,System",Role PGDS ANALYST
,,,,,,,"(Role VIEWER I) GetFile Base,System",Role WWP APCC CREATOR
,,,,,,,,Role VIEWER G
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
Battery,Parts,4620,0,(Role VIEWER K 3D1) GetFile Battery,(Role VIEWER K 3D1) GetFile Battery,,(Role VIEWER K 3D1) GetFile Battery,Type O Role
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Battery,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Battery,,(Role VIEWER B) GetFile Battery,Role Bulk Update User
,,,,For Battery Only - Exclude SBOM,For Battery Only - Exclude SBOM,,Upgrade Supplier Access - Modify Battery,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER D) GetFile Battery,(Role VIEWER D) GetFile Battery,,(Role Bulk Update User) Modify P3 Battery,Role VIEWER E
,,,,(Role VIEWER I) GetFile Battery,(Role VIEWER I) GetFile Battery,,(Role VIEWER D) GetFile Battery,Create All Items (Subclass Level)
,,,,(Role VIEWER B) GetFile Battery,(Role VIEWER B) GetFile Battery,,Modify MOD Battery Attributes - Super User,Role DELL LEGAL
,,,,(Role VIEWER J 3B) GetFile Battery,(Role VIEWER J 3B) GetFile Battery,,Create-Battery,Role VIEWER I
,,,,(Role VIEWER C) GetFile Battery,(Role VIEWER C) GetFile Battery,,(Role VIEWER E) GetFile Battery,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER H) GetFile Battery,(Role VIEWER H) GetFile Battery,,Checkin-Battery,Openmanage Viewer
,,,,(Role VIEWER G) GetFile Battery,(Role VIEWER G) GetFile Battery,,Modify Battery P3 Attributes,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,All Parts-Battery (Subclass Access),All Parts-Battery (Subclass Access),,(Role VIEWER I) GetFile Battery,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER E) GetFile Battery,(Role VIEWER E) GetFile Battery,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Battery,Role Check In Check Out
,,,,(Role VIEWER F) GetFile Battery,(Role VIEWER F) GetFile Battery,,Read Battery P3 Attributes (Flex Field),Role CREATOR
,,,,For Battery Only,For Battery Only,,Checkout-Battery,Role VIEWER F
,,,,,,,(Role VIEWER F) GetFile Battery,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role SUPERUSER) Modify Battery TA Flex Fields,Role ZWS Command
,,,,,,,(Role VIEWER J 3B) GetFile Battery,Role READ/DISCOVER P3
,,,,,,,(Role ZWS Command) Modify P3 Battery,Modify Devices
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Battery,Role VIEWER J 3B
,,,,,,,Read Battery TA Flex Fields,Role VIEWER H
,,,,,,,(Role MOD PARTS P3 CMA'S) Mod P3 Battery,Role VIEWER C
,,,,,,,(Role VIEWER H) GetFile Battery,Role PGDS ANALYST
,,,,,,,(Role VIEWER C) GetFile Battery,Role WWP APCC CREATOR
,,,,,,,Modify Attachments-Battery,Role VIEWER G
,,,,,,,(Role VIEWER G) GetFile Battery,Role VIEWER A
,,,,,,,(Role READ/DISCOVER P3) Read P3 Battery,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER D
BCO,Change Orders,5,0,Upgrade Supplier Access - BCO $UserGroup,Upgrade Supplier Access - BCO $UserGroup,,Add Approver & Observers BCO,Bios Signing Tool - EXTERNAL USERS
,,,,For BCO,For BCO,,Comment on BCO Internal & External Users,"Bios Engr - Signer Tool, Project, & BCO (Internal Users)"
,,,,Upgrade Supplier Access - Modify BCO $UserGroup,Upgrade Supplier Access - Modify BCO $UserGroup,,Send BCO Internal & External Users,Bios Signer Read for Legal Search
,,,,,,,Modify BCO - Internal Users,Bios Id Super User
,,,,,,,Read BCO,"Bios Mgr - Signer Tool, Project, & BCO (Internal Users)"
,,,,,,,Remove Approvers & Observers BCO,
,,,,,,,Create BCO - Internal & External Users,
,,,,,,,Upgrade Supplier Access - Modify BCO $Usergroup,
,,,,,,,Upgrade Supplier Access - Read BCO $UserGroup,
,,,,,,,PrintTab BCO Internal & External Users,
,,,,,,,Discover BCO,
,,,,,,,SaveAs BCO Internal & External Users,
,,,,,,,"Change Status BCO WF Pending, Submit, Review or Cancel",
,,,,,,,Upgrade Supplier Access - Discover BCO $UserGroup,
,,,,,,,PrintFile BCO Internal & External Users,
Biometric,Parts,358,0,For Non Proprietary Biometric Only,For Non Proprietary Biometric Only,,(Role VIEWER C) GetFile Biometric,Type O Role
,,,,All Parts-Biometric,All Parts-Biometric,,Modify Attachments-Biometric,Role VIEWER E
,,,,For Biometric Only - Exclude SBOM,For Biometric Only - Exclude SBOM,,(Role VIEWER D) GetFile Biometric,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,For Biometric Only,For Biometric Only,,(Role VIEWER B) GetFile Biometric,Create All Items (Subclass Level)
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Biometric,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Biometric,,(Role VIEWER G) GetFile Biometric,Role DELL LEGAL
,,,,,,,(Role VIEWER H) GetFile Biometric,Role DOCUMENT SUBMITTER
,,,,,,,Upgrade Supplier Access - Modify Biometric,Role VIEWER I
,,,,,,,(Role VIEWER E) GetFile Biometric,Openmanage Viewer
,,,,,,,(Role VIEWER F) GetFile Biometric,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,,,,Create-Biometric,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,,,,(Role VIEWER K 3D1) GetFile Biometric,Role Check In Check Out
,,,,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Biometric,Role VIEWER F
,,,,,,,(Role VIEWER I) GetFile Biometric,Role CREATOR
,,,,,,,Checkout-Biometric,Role MOD PARTS P3 PROJ PLNR
,,,,,,,(Role VIEWER J 3B) GetFile Biometric,Modify Devices
,,,,,,,(Role MOD PARTS P3 CMA'S) Mod P3 Biometric,Role READ/DISCOVER P3
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Biometric,Role VIEWER J 3B
,,,,,,,Checkin-Biometric,Role VIEWER H
,,,,,,,(Role Modify IATA Attributes) Modify Biometric,Role VIEWER C
,,,,,,,(Role READ/DISCOVER P3) Read P3 Biometric,Role PGDS ANALYST
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Bios Project,Parts,4,0,Upgrade Supplier Access - Bios Project $UserGroup,Upgrade Supplier Access - Bios Project $UserGroup,,Modify Bios Project - Bios SuperUser,Bios Signing Tool - EXTERNAL USERS
,,,,For Bios Project,For Bios Project,,Upgrade Supplier Access - Discover Bios Project $UserGroup,"Bios Engr - Signer Tool, Project, & BCO (Internal Users)"
,,,,Attach Files Bios Project,Attach Files Bios Project,,PrintTab Bios Project Internal & External,Bios Signer Read for Legal Search
,,,,,,,Send Bios Project Internal & External,Bios Id Super User
,,,,,,,Modify Bios Project - Bios Mgr,"Bios Mgr - Signer Tool, Project, & BCO (Internal Users)"
,,,,,,,Create Bios Project,
,,,,,,,Discover Bios Project,
,,,,,,,Read Bios Project,
,,,,,,,GetFile Bios Project,
,,,,,,,SaveAs Bios Project Internal & External,
,,,,,,,Attach File Bios Project,
,,,,,,,Upgrade Supplier Access - Read Bios Project $UserGroup,
,,,,,,,PrintFile Bios Project Internal & External,
Bios Signer Tool,Parts,4,0,Attach Files Bios Signer Tool,Attach Files Bios Signer Tool,,PrintTab on Bios Signer Internal & External,Bios Signing Tool - EXTERNAL USERS
,,,,Upgrade Supplier Access - Bios Signer Tool $UserGroup,Upgrade Supplier Access - Bios Signer Tool $UserGroup,,SaveAs on Bios Signer Internal & External,"Bios Engr - Signer Tool, Project, & BCO (Internal Users)"
,,,,For Bios Signer Tool in Released Status,For Bios Signer Tool in Released Status,,Attach File Bios Signer Tool,Bios Signer Read for Legal Search
,,,,For Bios Signer Tool,For Bios Signer Tool,,Upgrade Supplier Access - Read Bios Signer Tool $UserGroup,Bios Id Super User
,,,,,,,Modify Bios Signer Tool - Bios Mgr,"Bios Mgr - Signer Tool, Project, & BCO (Internal Users)"
,,,,,,,Send on Bios Signer Internal & External,
,,,,,,,Modify Bios Signer Tool - Bios Superuser,
,,,,,,,Read Bios Signer Tool,
,,,,,,,PrintFile Bios Signer Internal & External,
,,,,,,,GetFile Bios Signer Tool,
,,,,,,,Upgrade Supplier Access - Discover Bios Signer Tool $UserGroup,
,,,,,,,Create Bios Signer Tool,
,,,,,,,Discover Bios Signer Tool,
BITS,Problem Reports,430774,3,For PQM BITS CS & Modify BITS Criteria,For PQM BITS CS & Modify BITS Criteria,,PQM Upgrade Supplier Access - Read BITS H2,Role Severity Calculator- Modify Severity Calculation
,,,,For PQM BITS Modify as Originator BITS Criteria,For PQM BITS Modify as Originator BITS Criteria,,PQM Upgrade Supplier Access - Discover BITS H2,Role WORK PSR BITS GENERAL USER NEW
,,,,PQM Upgrade Supplier Access Modify PSR BITS $UserGroup,PQM Upgrade Supplier Access Modify PSR BITS $UserGroup,,(Role WORK BITS) Read BITS,Type H
,,,,PQM Upgrade Supplier Access Modify BITS I have Created,PQM Upgrade Supplier Access Modify BITS I have Created,,(Role WORK BITS) Modify BITS,Role PAW & SUPPLIER ACCESS PX
,,,,PQM Upgrade Supplier Access Read/Discover BITS $UserGroup H2,PQM Upgrade Supplier Access Read/Discover BITS $UserGroup H2,,(Role WORK BITS) Modify as Originator BITS,Role WORK PSR BITS GENERAL USER
,,,,PQM Upgrade Supplier Access Modify PSR BITS $UserGroup H2,PQM Upgrade Supplier Access Modify PSR BITS $UserGroup H2,,PQM Upgrade Supplier Access - Read BITS,TYPE H 2
,,,,PQM Upgrade Supplier Access Read/Discover BITS $UserGroup,PQM Upgrade Supplier Access Read/Discover BITS $UserGroup,,(Role WORK BITS) Modify BITS as Super User,Role PQM SUPERUSER
,,,,For BITS Only New,For BITS Only New,,PQM Upgrade Supplier Access - Modify BITS,
,,,,For BITS Problem Report Only,For BITS Problem Report Only,,(Role WORK BITS) Create BITS,
,,,,,,,PAW PX Privileges,
,,,,,,,(Role WORK BITS) Read BITS New,
,,,,,,,(Role WORK BITS) CS BITS Pending - Closed,
,,,,,,,PQM Supplier Access Create PSR BITS,
,,,,,,,(Role WORK BITS) Discovery BITS,
,,,,,,,Severity Calculator- Modify Severity Calculation,
,,,,,,,PQM Upgrade Supplier Access - Modify BITS H2,
,,,,,,,PQM Upgrade Supplier Access - Modify BITS I have Created,
,,,,,,,(Role WORK BITS) Discovery BITS New,
,,,,,,,PQM Upgrade Supplier Access - Discover BITS,
,,,,,,,(Role WORK BITS) CS BITS as SuperUser,
Blanket Declaration,Part Declarations,28,1,For Blanket Declaration Only,For Blanket Declaration Only,Declaration Workflow,(reg) Dell - Discover Blanket Declarations,Role VIEWER J 3B
,,,,For Blanket Declarations,For Blanket Declarations,,(dm) Dell - Modify Part Declaration Object,Role PGC PX
,,,,,,,(ex) Dell - Read Blanket Declaration,Role pgc_service_account
,,,,,,,(ex) Dell - Modify Blanket Declaration,Role VIEWER H
,,,,,,,(px) Dell - Modify Blanket Declaration,Role VIEWER C
,,,,,,,(pjm) Dell - Discover Blanket Declaration,Role VIEWER E
,,,,,,,(pgc) Dell - Discover Blanket Declaration,Role EA Superusers
,,,,,,,(px) Dell - Read Blanket Declaration,Role EXERTIS (PGC ONLY)
,,,,,,,(pjm) Dell - Read Blanket Declaration,Role VIEWER A
,,,,,,,(grvy) Dell - Discover Blanket Declaration,Role VIEWER G
,,,,,,,(ces) Dell - Discover Blanket Declaration,Role pgc_data_migration
,,,,,,,(grvy) Dell - Read Blanket Declaration,Role COMPONENT ENGINEERING SERIES ONLY
,,,,,,,(dm) Dell - Discover Blanket Declaration,Role VIEWER I
,,,,,,,(ces) Dell - Read Blanket Declaration,Role VIEWER B
,,,,,,,(ea) Dell - CS Open To Supplier,Role VIEWER K 3D1
,,,,,,,(ea) Dell - Modify Blanket Declaration,Role Groovy Script (PGC Only)
,,,,,,,(ea) Dell - Read Blanket Declaration,Role REGULATORY
,,,,,,,(dm) Dell - Read Blanket Declaration,Role PG PROJ PLNR
,,,,,,,(px) Dell - Discover Blanket Declaration,Role VIEWER D
,,,,,,,(ea) Dell - Discover Blanket Declaration,Role VIEWER F
,,,,,,,(pgc) Dell - Read Status on Blanket Declaration Workflow,
,,,,,,,(reg) Dell - Read Blanket Declarations,
,,,,,,,(ea) Dell - Create Blanket Declaration,
,,,,,,,(ex) Dell - Discover Blanket Declaration,
,,,,,,,(dm) Dell - Modify Blanket Declaration,
Block Project,Activities,1087,7,For Block Objects,For Block Objects,,Modify Block,PPM - External Program Manager_Team Member
,,,,For Block Objects--In Process,For Block Objects--In Process,,Modify Block In Process,PPM - Internal Program Manager
,,,,For Block Objects--Not Started,For Block Objects--Not Started,,Modify PG3 Block,FISH Developer
,,,,For Block Project Only,For Block Project Only,,Create Block,Role COMPONENT ENGINEERING SERIES ONLY
,,,,,,,Discover Block Objects,Block Customization Role
,,,,,,,Read attributes-Block Project for swb_update user,Software Bundle File Update
,,,,,,,Modify Block All Statuses for Block PjM,Role BLOCK PJM
,,,,,,,Read Block Objects,Read and Discover Block
,,,,,,,,Role PG PROJ PLNR
Bracket,Parts,12737,0,(Role VIEWER B) GetFile Bracket,(Role VIEWER B) GetFile Bracket,,(Role VIEWER F) GetFile Bracket,Type O Role
,,,,(Role VIEWER E) GetFile Bracket,(Role VIEWER E) GetFile Bracket,,Upgrade Supplier Access - Modify Bracket,Role Bulk Update User
,,,,(Role VIEWER K 3D1) GetFile Bracket,(Role VIEWER K 3D1) GetFile Bracket,,(Role VIEWER J 3B) GetFile Bracket,Role VIEWER E
,,,,(Role VIEWER H) GetFile Bracket,(Role VIEWER H) GetFile Bracket,,Modify Attachments-Bracket,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,(Role VIEWER F) GetFile Bracket,(Role VIEWER F) GetFile Bracket,,(Role VIEWER B) GetFile Bracket,Create All Items (Subclass Level)
,,,,For Bracket Only - Exclude SBOM,For Bracket Only - Exclude SBOM,,(Role VIEWER H) GetFile Bracket,Role DELL LEGAL
,,,,(Role VIEWER C) GetFile Bracket,(Role VIEWER C) GetFile Bracket,,Checkout-Bracket,Role DOCUMENT SUBMITTER
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Bracket,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Bracket,,(Role VIEWER C) GetFile Bracket,Role VIEWER I
,,,,For Bracket Only,For Bracket Only,,(Role MOD PARTS P3 CMA'S) Mod P3 Bracket,Openmanage Viewer
,,,,(Role VIEWER J 3B) GetFile Bracket,(Role VIEWER J 3B) GetFile Bracket,,Read Bracket TA Flex Fields,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER G) GetFile Bracket,(Role VIEWER G) GetFile Bracket,,(Role VIEWER E) GetFile Bracket,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER D) GetFile Bracket,(Role VIEWER D) GetFile Bracket,,(Role VIEWER G) GetFile Bracket,Role Check In Check Out
,,,,(Role VIEWER I) GetFile Bracket,(Role VIEWER I) GetFile Bracket,,(Role VIEWER I) GetFile Bracket,Role VIEWER F
,,,,All Parts-Bracket (Subclass Access),All Parts-Bracket (Subclass Access),,Create-Bracket,Role CREATOR
,,,,,,,(Role READ/DISCOVER P3) Discover P3 Bracket,Role READ/DISCOVER P3
,,,,,,,(Role VIEWER K 3D1) GetFile Bracket,Role MOD PARTS P3 PROJ PLNR
,,,,,,,Checkin-Bracket,Role VIEWER J 3B
,,,,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Bracket,Role VIEWER H
,,,,,,,(Role VIEWER D) GetFile Bracket,Role VIEWER C
,,,,,,,(Role READ/DISCOVER P3) Read P3 Bracket,Role PGDS ANALYST
,,,,,,,,Role VIEWER G
,,,,,,,,Role WWP APCC CREATOR
,,,,,,,,Role VIEWER A
,,,,,,,,Type D Role
,,,,,,,,Role MOD PARTS P3 CMA'S
,,,,,,,,Role SUPERUSER
,,,,,,,,Role VIEWER B
,,,,,,,,Role VIEWER K 3D1
,,,,,,,,Role VIEWER D
Broker,suppliers,0,0,,,,,
BTO/FACE,Problem Reports,41044,1,PQM Upgrade Supplier Access Modify BTO/FACE I have Created,PQM Upgrade Supplier Access Modify BTO/FACE I have Created,,(Role WORK BTO/FACE) Create,Role WORK PSR BTO/FACE GENERAL USER
,,,,PQM Upgrade Supplier Access Modify BTO/FACE $UserGroup,PQM Upgrade Supplier Access Modify BTO/FACE $UserGroup,,(Role WORK BTO/FACE) Modify FACE,Type J
,,,,For BTO/FACE Only New,For BTO/FACE Only New,,(Role WORK BTO/FACE) Modify as Originator FACE,Type F
,,,,For PQM BTO/FACE Modify as Originator FACE Criteria,For PQM BTO/FACE Modify as Originator FACE Criteria,,(Role WORK BTO/FACE) Discovery,Role PQM SUPERUSER
,,,,For BTO/FACE PR BTO Only,For BTO/FACE PR BTO Only,,(Role WORK BTO/FACE) CS BTO/FACE Pending to Closed,
,,,,For PQM BTO/FACE Change Status Pending - Closed Criteria,For PQM BTO/FACE Change Status Pending - Closed Criteria,,(Role WORK BTO/FACE) Modify as Originator BTO,
,,,,For BTO/FACE PR FACE Only,For BTO/FACE PR FACE Only,,PQM Upgrade Supplier Access - Read BTO/FACE,
,,,,PQM Upgrade Supplier Access Read/Discover BTO/FACE $UserGroup,PQM Upgrade Supplier Access Read/Discover BTO/FACE $UserGroup,,PQM Upgrade Supplier Access - Discover BTO/FACE,
,,,,For PQM BTO/FACE Modify BTO Criteria,For PQM BTO/FACE Modify BTO Criteria,,(Role WORK BTO/FACE) Modify BTO SuperUser,
,,,,For BTO/FACE Only,For BTO/FACE Only,,PQM Upgrade Supplier Access - Modify BTO/FACE,
,,,,For PQM BTO/FACE Modify FACE Criteria,For PQM BTO/FACE Modify FACE Criteria,,(Role WORK BTO/FACE) Modify FACE Super User,
,,,,For PQM BTO/FACE Modify as Originator BTO Criteria,For PQM BTO/FACE Modify as Originator BTO Criteria,,PQM Upgrade Supplier Access - Modify BTO/FACE I have Created,
,,,,,,,(Role WORK BTO/FACE) Read New,
,,,,,,,(Role WORK BTO/FACE) Read,
,,,,,,,(Role WORK BTO/FACE) Modify BTO,
,,,,,,,(Role WORK BTO/FACE) CS BTO/FACE as SuperUser,
Cable,Parts,16776,1,(Role VIEWER C) GetFile Cable,(Role VIEWER C) GetFile Cable,,(Role VIEWER C) GetFile Cable,Type O Role
,,,,(Role VIEWER G) GetFile Cable,(Role VIEWER G) GetFile Cable,,(Role VIEWER E) GetFile Cable,Role Bulk Update User
,,,,For Cable Only,For Cable Only,,(Role VIEWER G) GetFile Cable,Role VIEWER E
,,,,(Role VIEWER K 3D1) GetFile Cable,(Role VIEWER K 3D1) GetFile Cable,,Modify Attachments-Cable,"Create All Items (Subclass Level)-No LOB, Product Hierarchies, ET-DATA"
,,,,Cables Prelim/Development Phase,Cables Prelim/Development Phase,,(Role VIEWER I) GetFile Cable,Create All Items (Subclass Level)
,,,,(Role VIEWER J 3B) GetFile Cable,(Role VIEWER J 3B) GetFile Cable,,Checkout-Cable,Role DELL LEGAL
,,,,For Cable Only - Exclude SBOM,For Cable Only - Exclude SBOM,,(Role VIEWER K 3D1) GetFile Cable,Role DOCUMENT SUBMITTER
,,,,(Role VIEWER I) GetFile Cable,(Role VIEWER I) GetFile Cable,,(Role MOD PARTS P3 CMA'S) Mod P3 Cable,Role VIEWER I
,,,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Cables,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Cables,,(Role VIEWER B) GetFile Cable,Openmanage Viewer
,,,,(Role VIEWER B) GetFile Cable,(Role VIEWER B) GetFile Cable,,Create-Cable,Type D Role - Exclude Competitor (MITAC INTERNATIONAL CORP)
,,,,(Role VIEWER D) GetFile Cable,(Role VIEWER D) GetFile Cable,,(Role SUPERUSER) Modify Cable TA Flex Fields,Role Check In Check Out
,,,,Override Cable,Override Cable,,Read Cable TA Flex Fields,"Type D Role - Exclude Competitor (MICRO STAR INTERNATIONAL CO., LTD.)"
,,,,(Role VIEWER E) GetFile Cable,(Role VIEWER E) GetFile Cable,,Upgrade Supplier Access - Modify Cable,Role CREATOR
,,,,(Role VIEWER H) GetFile Cable,(Role VIEWER H) GetFile Cable,,(Role MOD PARTS P3 PROJ PLNR) Mod P3 Cables,Role VIEWER F
,,,,All Parts-Cable (Subclass Access),All Parts-Cable (Subclass Access),,(Role VIEWER D) GetFile Cable,Role MOD PARTS P3 PROJ PLNR
,,,,(Role VIEWER F) GetFile Cable,(Role VIEWER F) GetFile Cable,,(Role VIEWER J 3B) GetFile Cable,Role READ/DISCOVER P3
